,city_part,population,share_under_18_years_old,65_year_olds_and_older,share_65_year_olds_and_older,foreigners,share_foreigners,population_with_migration_background,share_population_with_migration_background,below_18_year_olds_with_migration_background,share_below_18_year_olds_with_migration_background,households,people_per_household,one_person_households,share_one_person_households,households_with_children,share_households_with_children,single_parents,share_households_with_single_parents,area_in_square_kms,population_density,births,deaths,immigration,emigration,migration_balance,insurable_employees,employment_quote_in_%,unemployed_people,share_unemployed_people,younger_unemployed_people,share_younger_unemployed_people,older_unemployed_people,share_older_unemployed_people,service_recipients_per_SGB_II,share_service_recipients_per_SGB_II,under_15_year_olds_in_minimum_income,share_under_15_year_olds_in_minimum_income,shared_households_per_SGB_II,tax_liable_people,sum_of_incomes_per_tax_reliable_person_in_EUR,residential_buildings,apartments,apartments_ready_for_occupancy,homes_in_one_or_two_family_houses,share_homes_in_one_or_two_family_houses,home_size_in_sqm,living_area_per_resident_in_sqm,social_homes,share_social_homes,social_homes_with_ends_of_commitment_until_2022,share_social_homes_with_ends_of_commitment_until_2022,prices_for_properties,prices_for_one_or_two_family_houses_in_EUR/sqm,prices_for_condominiums,kindergardens_and_preschool_classes,primary_schools,students_in_secondary_level_1,share_students_in_city_district_schools,share_students_in_Gymnasium,residential_practitioners,general_practitioners,dentists,pharmacys,private_cars,car_density
10,Billbrook,2198,649,118,5.368516833,1739,79.11737944,1870,84.88424875,638,98.0030722,723,1.8852005530000002,474,65.56016598,125,17.28907331,32,25.6,6.288611786000001,349.520701,47,10,879,832,47,449,29.48128693,158,10.37426133,17,4.683195592,28,15.6424581,882,40.12738854,293,52.6032316,339,403,22625,83,284,0,72,25.35211268,65.84507042,8.507734304,0,0.0,0,0.0,203,.    ,.    ,1,1,202,78.21782178,14.85148515,0,0,0,0,307,139.6724295
11,Rothenburgsort,9137,1566,1343,14.69847871,2499,27.35033381,4953,54.20816461,1216,77.60051053,5190,1.7610789980000001,3083,59.402697499999995,892,17.18689788,288,32.28699552,7.190858696,1270.641016,123,98,1107,1103,4,3526,54.86229967,592,9.211140501000001,33,3.4020618560000004,87,8.397683398,1894,20.72890445,547,40.01463058,940,4024,20473,519,4557,33,136,2.984419574,60.45841562,30.15311371,928,20.36427474,142,15.30172414,250,.    ,3171,4,1,435,69.88505747,22.98850575,5,5,5,2,2408,263.5438328
12,Veddel,4632,925,388,8.376511226,2038,43.99827288,3314,71.57667387,861,93.08108108,2496,1.8766025640000001,1442,57.77243589999999,504,20.19230769,132,26.19047619,4.371206162,1059.661757,63,22,534,628,-94,1717,49.55266955,370,10.67821068,21,2.880658436,41,11.781609199999998,1155,24.93523316,342,43.90243902,529,1911,15831,210,2040,0,14,0.68627451,60.96372549,26.84930915,413,20.24509804,98,23.72881356,196,.    ,.    ,2,1,330,78.78787879,18.78787879,2,2,3,0,807,174.22279790000002
13,Wilhelmsburg,55074,11528,7342,13.33115445,18701,33.95613175,33262,60.38852578,9098,78.8935137,25984,2.046567118,12638,48.63762315,6064,23.33743842,1602,26.418205800000003,35.38672277,1556.34644,755,380,6458,6579,-121,19299,50.59246055,3583,9.392859015,247,3.2367972739999997,431,8.442703232000001,12406,22.52605585,3787,39.5055289,5589,21384,21890,4637,22573,52,3161,14.00345546,69.6275196,28.53800341,5392,23.88694458,704,13.05637982,184,2378,2593,25,6,3643,71.17760088,22.04227285,73,39,21,10,13527,245.61499069999996
14,Kleiner Grasbrook und Steinwerder,1256,65,67,5.334394904,504,40.12738854,650,51.91693291,57,87.69230769,1006,1.2823061629999999,799,79.42345924,39,3.876739563,16,41.02564103,11.90017659,105.54465230000001,6,1,379,530,-151,531,46.78414097,100,8.810572687,6,2.068965517,16,14.41441441,190,15.12738854,34,62.96296296,136,588,13777,70,735,0,2,0.27210884399999996,50.58911565,29.60429936,0,0.0,0,0.0,.    ,.    ,.    ,0,0,21,71.42857143,28.57142857,0,0,0,0,117,93.15286624
15,Waltershof und Finkenwerder,11729,1899,2294,19.55835962,1861,15.866655300000001,3308,28.22525597,836,43.93063584,6280,1.8812101909999999,3150,50.15923567,1180,18.78980892,334,28.30508475,29.42050989,398.6674618,122,133,844,813,31,4814,60.93670886,441,5.582278481,33,2.468212416,95,5.986137366,1110,9.463722397,285,18.56677524,603,5919,31649,2298,5775,3,1913,33.12554113,75.49766234,37.17273425,747,12.93506494,172,23.02543507,271,2139,.    ,5,2,610,55.08196721,42.95081967,7,5,7,3,4309,367.3799983
16,Altona-Altstadt,29034,4396,3752,12.92278019,5705,19.64937659,10960,37.7579495,2327,52.93448589999999,17741,1.655487289,11110,62.62330196,2896,16.3237698,904,31.21546961,2.717872695,10682.61956,315,228,3410,3222,188,12021,55.95587208,1575,7.331378299,101,3.976377953,279,9.53520164,3761,12.95377833,815,21.45301395,2307,14861,30833,1598,16091,100,185,1.1497110190000002,63.36622957,35.11834401,2336,14.517432099999999,529,22.64554795,1349,.    ,5745,27,3,1227,56.4792176,40.42379788,187,49,43,9,6741,232.17606940000002
17,Sternschanze,8043,1158,816,10.14546811,1622,20.166604500000002,2926,36.37493784,589,50.81967213,5212,1.5610130469999999,3509,67.32540292,765,14.67766692,250,32.67973856,0.548448904,14664.9942,132,111,1280,1179,101,3363,53.99807322,393,6.310211946,17,2.303523035,67,11.09271523,946,11.76178043,225,22.52252252,544,4147,31125,497,4264,0,80,1.876172608,68.17307692,36.14198682,456,10.69418386,77,16.88596491,1202,.    ,.    ,4,1,293,53.92491468,40.9556314,42,8,6,4,1509,187.61656100000002
18,Altona-Nord,22137,3482,2239,10.1142883,4168,18.82820617,7959,35.96962986,1800,51.72413793,13596,1.6390114740000001,8624,63.43042071,2212,16.26949103,605,27.35081374,2.217816773,9981.437724,309,127,2873,2692,181,9610,56.99881376,1207,7.158956109,66,3.293413174,203,9.160649819,2721,12.29163843,623,20.50691244,1620,11541,29901,1149,11850,114,123,1.0379746840000001,63.60405063,34.0474319,1448,12.21940928,386,26.65745856,1055,.    ,5745,14,2,886,57.67494357,38.1489842,32,6,6,5,5220,235.80430950000002
19,Ottensen,35370,5567,4756,13.44642352,4616,13.05060786,9189,25.99507765,1897,34.06968391,21458,1.6695871,13068,60.9003635,3724,17.3548327,1025,27.52416756,2.795190658,12653.87744,510,203,3763,3900,-137,14798,57.4233605,1146,4.447031432,45,1.5389876880000002,216,5.545571245,2231,6.307605315,432,8.918249381,1462,18815,40830,2381,19477,53,407,2.089644196,70.31940237,38.72239186,1349,6.926117985,801,59.37731653,1483,.    ,5083,34,4,1546,48.9003881,49.09443726,167,28,64,10,9810,277.3536896
20,Bahrenfeld,31047,5102,3985,12.83537862,7531,24.25677199,11413,36.75447636,2530,49.57867921,16486,1.7124226619999998,9770,59.26240446,2818,17.09329128,686,24.34350603,10.54097228,2945.363973,433,241,6361,5155,1206,12404,54.56384991,1445,6.356398187999999,182,4.896421846,213,7.542492918,3735,12.03014784,743,17.16331716,2449,14963,33565,3524,14432,212,2302,15.95066519,69.70911863,32.40383934,407,2.8201219510000004,35,8.5995086,674,4367,3739,26,4,1350,56.0,41.55555556,36,12,23,4,8796,283.31239730000004
21,Groß Flottbek,10955,2244,2336,21.32359653,1378,12.57873117,2427,22.162359600000002,623,27.78768956,5191,2.107493739,2216,42.68926989,1304,25.12040069,189,14.49386503,2.370778877,4620.844274,94,95,1265,1215,50,3155,46.60265879,117,1.728212703,10,0.8143322479999999,31,2.624894157,102,0.931081698,12,0.648999459,76,5126,85952,2436,5247,37,2200,41.92872117,103.9203354,49.77361935,36,0.686106346,0,0.0,1122,5367,4464,7,1,717,13.94700139,85.49511855,66,12,20,4,4723,431.1273391
22,Othmarschen,14893,2985,3183,21.37245686,1795,12.05264218,3572,23.98281187,1018,34.06961178,7053,2.101233518,2940,41.68438962,1760,24.95392032,231,13.125,5.946814357,2504.366053,188,154,1657,1424,233,4567,50.02190581,184,2.015334064,8,0.62992126,38,2.429667519,370,2.484388639,108,4.186046512,194,7056,108258,2737,6965,116,2351,33.75448672,112.9933955,52.84355066,157,2.254127782,0,0.0,1431,6485,5880,16,3,786,15.26717557,83.4605598,39,8,7,2,6585,442.15403210000005
23,Lurup,36053,7178,6640,18.41733004,7020,19.47133387,16821,46.66407745,4669,65.07317073,17530,2.042099258,7808,44.54078722,4107,23.42840844,1201,29.24275627,6.292338356,5729.666455,427,390,3203,2782,421,12964,55.42302595,1811,7.742294045,189,4.564114948,273,6.351791531,6259,17.36055252,1973,32.76320159,2897,15733,26665,5423,15951,53,5175,32.44310702,77.19547364,34.15374587,2562,16.06168892,758,29.58626073,445,3158,2755,22,4,2318,61.82053494,34.55565142,29,15,12,5,11751,325.93681519999996
24,Osdorf,26140,5229,5910,22.60902831,4522,17.29915838,10230,39.15639593,2930,56.04437643,13046,1.991185038,6083,46.62731872,2964,22.71960754,855,28.84615385,7.250842254,3605.098426,255,321,3208,3569,-361,8302,52.42154448,1052,6.642672223,99,3.691275168,169,5.622089155,3630,13.88676358,1119,25.47234236,1717,11482,43177,4024,12412,12,3338,26.89332904,84.37238157,40.06235654,1200,9.668063165,682,56.83333333,786,4523,3216,14,4,1745,51.69054441,44.29799427,67,18,14,6,9167,350.6885998
25,Nienstedten,7238,1448,1850,25.55954684,729,10.07184305,1361,18.80873411,360,24.86187845,3491,2.09510169,1518,43.48324262,831,23.8040676,125,15.04211793,4.379429102,1652.726835,53,74,760,704,56,1728,41.06463878,89,2.115019011,3,0.423728814,17,2.016607355,44,0.607902736,6,0.508474576,33,3286,120716,1807,3207,16,1706,53.19613346,124.2070471,55.03343465,0,0.0,0,0.0,1295,6419,5587,8,1,486,20.98765432,76.95473251,17,1,7,2,3653,504.69743020000004
26,Blankenese,13407,2488,3652,27.23950175,1091,8.137540091,2295,17.12558764,629,25.28135048,6935,2.0,3145,45.34967556,1429,20.60562365,243,17.00489853,7.735771399,1733.117398,93,106,1236,1148,88,3574,46.28334628,150,1.9425019430000001,3,0.25,34,2.1628498730000003,127,0.947266353,11,0.541072307,103,6279,117139,3388,6796,56,3108,45.73278399,116.9558564,59.2848512,32,0.470865215,0,0.0,1615,6834,5249,9,3,813,22.38622386,77.49077491,110,22,25,5,6621,493.8464981000001
27,Iserbrook,11324,2018,2865,25.30024726,935,8.256799717,2408,21.26269316,681,33.72956909,5629,1.9770829630000002,2528,44.91028602,1240,22.02877953,291,23.46774194,2.670120614,4241.0069189999995,96,183,1069,907,162,3886,57.33254647,265,3.9097078780000003,12,1.19047619,60,4.480955937,615,5.43094313,136,8.090422367999999,353,5539,39439,2471,5682,51,2297,40.42590637,83.92678634,42.11162134,132,2.32312566,0,0.0,578,3749,3243,8,3,670,46.26865672,51.94029851,9,7,6,1,4680,413.281526
28,Sülldorf,9430,1845,1974,20.93319194,1272,13.48886532,2253,23.90197327,562,30.47722343,4642,2.012063766,2137,46.03619129999999,1058,22.79190004,233,22.02268431,5.736183842000001,1643.9501,92,94,1235,824,411,3027,50.80563948,286,4.800268546,26,2.434456929,51,4.497354497,725,7.688229056,160,10.68090788,450,4247,43584,2371,4381,4,2224,50.7646656,90.50445104,42.046659600000005,208,4.747774481,0,0.0,719,4092,3165,3,1,628,40.44585987,58.43949045,12,7,3,2,3711,393.5312831
29,Rissen,15192,2780,4654,30.6345445,1112,7.319641917,2569,16.9191254,747,26.88984881,7742,1.981658486,3509,45.32420563,1650,21.3123224,312,18.90909091,16.70384792,909.4910389,118,256,1278,1037,241,4292,51.9423938,288,3.485416919,15,1.166407465,77,4.282536151,594,3.9099526069999997,158,6.945054945,334,7287,65855,3736,7386,37,3469,46.96723531,100.87855400000001,49.04482622,178,2.4099647980000003,124,69.66292135,604,4027,3870,7,2,959,33.26381648,65.90198123,33,7,16,4,6738,443.5229068
30,Eimsbüttel,57055,7192,7149,12.530014900000001,6844,11.99544299,13148,23.05210744,2338,32.49027237,38461,1.523621331,25984,67.55934583,4974,12.93258106,1299,26.11580217,3.225548705,17688.463330000002,849,350,6938,7135,-197,26662,61.26941815,1728,3.970953213,74,1.657706093,279,4.918899859,2642,4.630619578,427,6.682316118999999,1865,32492,37536,3253,34127,17,309,0.9054414390000001,63.89571307,38.21871878,666,1.951533976,265,39.78978979,1451,.    ,4396,63,8,1803,35.1636162,61.06489185,278,35,57,12,15187,266.18175440000005
31,Rotherbaum,16456,2244,2599,15.7936315,2768,16.82061254,4882,29.67781155,816,36.37984842,10668,1.5853018369999998,6922,64.8856393,1427,13.37645294,323,22.63489839,2.735309267,6016.138723,195,84,2542,2532,10,6066,50.9962169,345,2.90037831,11,0.730411687,53,3.07603018,444,2.698104035,55,2.803261978,332,8142,68191,1195,9923,93,327,3.295374383,82.99415499,50.04563685,79,0.7961302029999999,24,30.37974684,3376,8719,6178,16,2,602,16.94352159,82.05980066,129,18,48,7,5411,328.8162372
32,Harvestehude,17822,2791,3639,20.41858377,2278,12.78195489,4592,25.77169155,944,33.81088825,10812,1.706067333,6441,59.572697,1714,15.8527562,373,21.76196033,2.050524388,8691.435276,203,149,2348,2069,279,5647,47.72247106,420,3.549395758,14,0.910273082,78,3.760848602,649,3.6415666030000002,104,4.425531915,449,9233,111088,1346,10031,0,531,5.293589871,96.76742099,54.46493098,75,0.747682185,32,42.66666667,3771,8352,8101,19,1,774,16.925064600000002,82.17054264,142,15,48,5,6859,384.8614072
33,Hoheluft-West,13089,1677,1764,13.47696539,1376,10.51264421,2657,20.32588739,445,26.58303465,8731,1.538998969,5775,66.14362616,1197,13.70976979,306,25.56390977,0.719518737,18191.32614,175,95,1751,1872,-121,6170,62.57606491,288,2.920892495,6,0.574162679,60,4.705882353,362,2.765681106,49,3.344709898,279,7902,42169,794,7907,36,109,1.3785253569999998,66.28746679999999,40.04393002,12,0.15176426,0,0.0,1692,6066,5124,9,1,430,24.41860465,73.25581395,31,8,11,3,3732,285.1249141
34,Lokstedt,28426,4794,5795,20.38626609,3924,13.804263699999998,8326,29.30967719,2081,43.47190307,15393,1.815630481,8307,53.96608848,2934,19.06061197,625,21.30197682,4.896199903,5805.727005,322,315,3203,3115,88,11018,59.59541324,715,3.8673734310000003,52,1.84790334,128,4.500703235,1991,7.004151128999999,548,13.2271301,987,14273,41778,3176,14778,20,2129,14.40655028,74.19901204,38.57429818,302,2.043578292,122,40.39735099,736,3922,3656,20,4,1276,36.833855799999995,57.83699059999999,59,17,17,7,9574,336.8043341
35,Niendorf,41836,6578,10881,26.00870064,4382,10.47423272,9189,21.98115013,2330,35.45343883,21637,1.8847344830000001,10254,47.39104312,3996,18.46836438,790,19.76976977,12.41758887,3369.0920539999997,408,445,4359,3590,769,15104,59.21279599,800,3.136270974,83,2.114649682,180,3.5587188610000005,1679,4.013289989,374,6.866164861000001,1024,20811,41651,8473,20710,179,7304,35.26798648,85.69179141,42.41985371,811,3.915982617,578,71.27003699,515,3597,3259,19,5,1994,36.65997994,60.68204614,90,21,36,8,17573,420.0449374
36,Schnelsen,29409,5473,5899,20.0584855,4069,13.83590057,9101,30.94736126,2566,46.85902118,14247,2.037902716,6118,42.94237383,3291,23.09959992,794,24.12640535,8.950757134,3285.6438359999997,330,268,3289,2911,378,10980,57.74692332,918,4.828021458,101,2.9863985810000004,153,4.2977528089999995,2875,9.775918936,855,19.01690391,1393,13530,37866,5758,13289,48,5249,39.49883362,88.56603206,40.0201979,1674,12.59688464,29,1.732377539,466,3367,2750,25,4,1735,57.29106628,40.34582133,51,19,29,6,12110,411.7787072
37,Eidelstedt,32403,5282,7214,22.26337068,5164,15.93679598,11306,34.92956006,2900,55.01802315,17297,1.882696421,8541,49.37850494,3263,18.86454298,856,26.23352743,8.722351376,3714.9386219999997,351,310,3224,2894,330,12230,58.99093189,1179,5.686860891,125,3.752626839,207,5.399061033,3508,10.82615807,987,22.14494054,1786,15376,30938,5061,15766,103,4372,27.73055943,75.2780033,36.62725674,1307,8.28999112,104,7.957153787,455,2869,2775,10,5,1592,58.04020101,38.94472362,54,16,19,6,11539,356.1090023
38,Stellingen,25634,3538,4902,19.12303971,4735,18.47156121,8586,33.48543349,1777,50.07044238,14439,1.6977630030000002,8317,57.60094189,2175,15.06337004,530,24.36781609,6.089201463999999,4209.747395,289,251,4603,4010,593,10507,59.33811487,880,4.96978596,72,2.500868357,127,4.817905918,2179,8.500429118,484,16.0,1345,12277,32600,2773,13710,36,1688,12.31218089,69.65433990000001,37.25368651,197,1.4369073669999999,30,15.2284264,492,3690,3340,11,3,876,46.46118721,48.63013699,36,12,8,3,8172,318.79534989999996
39,Hoheluft-Ost,9584,1243,1519,15.84933222,999,10.4236227,2068,21.6091954,351,28.32929782,6279,1.58353241,3988,63.5132983,870,13.85570951,212,24.36781609,0.5655044779999999,16947.699569999997,151,65,1249,1172,77,4206,60.051399200000006,245,3.4980011419999997,0,0.0,59,5.447830102,289,3.015442404,38,3.5815268610000004,228,5182,52006,632,5998,0,92,1.533844615,72.63687896,45.45868114,106,1.7672557519999998,0,0.0,2152,6066,5124,6,0,319,23.51097179,76.17554859,187,51,18,4,3140,327.62938230000003
40,Eppendorf,24387,3342,4551,18.66158199,2324,9.529667446,4884,20.03527916,948,28.39173405,15195,1.6267851269999998,9439,62.11911813,2204,14.50477131,484,21.960072600000004,2.669254115,9136.26015,346,223,3086,3103,-17,10302,61.05250682,482,2.856465568,22,1.102204409,101,4.110704111,552,2.263501046,66,2.228224173,414,13210,58438,1627,14070,12,373,2.651030561,79.97832267,46.14323205,664,4.7192608389999995,148,22.28915663,2348,5926,4999,13,3,809,20.27194067,76.76143387,155,26,45,10,8006,328.2896625
41,Groß Borstel,8459,1440,1802,21.30275446,1287,15.21456437,2242,26.529404800000002,572,39.77746871,4553,1.766966835,2517,55.282231499999995,769,16.88996266,186,24.18725618,3.985755325,2122.3078969999997,105,91,1458,1770,-312,3027,55.53109521,276,5.0632911389999995,18,2.23325062,63,6.034482758999999,664,7.849627616,146,12.10613599,408,4064,42631,1749,4440,16,1574,35.45045045,74.76576577,39.24340939,213,4.797297297,82,38.49765258,529,4159,3828,8,2,425,38.35294118,56.94117647,5,4,7,2,3179,375.8127438
42,Alsterdorf,14428,2326,2825,19.57998337,1786,12.37870807,3712,25.74023993,893,38.34263632,7659,1.795926361,4112,53.68847108,1376,17.96579188,342,24.85465116,3.155241052,4572.709268,149,156,1895,1524,371,5268,54.69269103,339,3.519518272,27,1.816958277,69,4.087677725,966,6.695314666,253,12.836123800000001,494,6302,52426,1977,7610,262,1303,17.12220762,77.5521682,40.90462989,786,10.32851511,341,43.38422392,821,5819,4261,10,2,655,38.93129771,56.79389313,36,9,10,5,5185,359.37066810000005
43,Winterhude,54826,6845,8064,14.70835005,6629,12.09097873,12849,23.44750817,2361,34.49736996,35273,1.560882261,23001,65.20851643,4610,13.06948658,1090,23.64425163,7.584308632999999,7228.872484999999,728,334,7473,7287,186,25441,62.43803073,1428,3.5046384919999998,78,1.60230074,245,4.665777947,2414,4.403020465,431,7.164228723,1620,29898,51627,3631,32664,324,718,2.1981386240000003,69.70686383,41.52965746,723,2.213445996,142,19.64038728,2639,7408,5020,40,4,1682,38.7039239,59.21521998,231,44,73,14,17613,321.2526903
44,Uhlenhorst,17599,2163,3438,19.53520086,1961,11.14267856,4220,23.98408639,816,37.72538141,11295,1.588667552,7121,63.0455954,1495,13.23594511,301,20.13377926,2.180611753,8070.670984,213,209,2607,2177,430,7384,60.14988596,368,2.997719127,11,0.8814102559999999,63,3.4596375619999997,421,2.392181374,52,2.75862069,316,9924,62479,1202,10615,225,242,2.279792746,78.60734809,47.41275072,174,1.639189826,0,0.0,2943,7881,6246,11,1,500,26.6,72.2,91,22,18,4,6365,361.6682766
45,Hohenfelde,9886,1176,1614,16.32611774,1860,18.81448513,3546,35.89432129,714,60.71428571,6229,1.5371648740000001,4068,65.30743297,699,11.22170493,148,21.17310443,1.154750982,8561.153143000001,135,100,1936,1514,422,4247,58.60356009,306,4.22243687,14,1.41271443,49,5.3551912569999995,721,7.293141817,157,15.31707317,419,5111,39541,686,5758,107,143,2.483501216,67.63268496,39.39196844,89,1.5456755819999999,0,0.0,1475,.    ,4273,3,0,264,47.34848485,50.37878788,36,11,14,2,2706,273.7204127
46,Barmbek-Süd,34792,3625,5058,14.53782479,4597,13.21280754,9200,26.45274447,1653,45.61258278,23727,1.474143381,16333,68.8371897,2532,10.67138703,729,28.79146919,3.091773916,11253.086720000001,439,304,5466,4494,972,17416,65.60934263,1197,4.50932379,69,2.176656151,194,6.008052028,2330,6.696941826000001,392,12.29225463,1595,19291,32679,2098,21958,236,115,0.523727115,58.94626104,37.20228788,731,3.3290827939999996,16,2.18878249,808,.    ,4094,26,4,878,52.84738041,44.98861048,51,18,23,7,10023,288.0834675
47,Dulsberg,17326,2169,2227,12.85351495,3634,20.97425834,7273,41.98464469,1551,71.47465438,12001,1.476710274,8555,71.28572619,1359,11.32405633,599,44.07652686,1.225829537,14134.10224,183,131,2307,2298,9,8125,61.25603136,1174,8.851025332,83,4.009661836,170,10.01767826,3060,17.66131825,724,39.45504087,1809,8895,21239,1074,10742,23,39,0.36306088299999995,53.28653882,33.03728501,1087,10.11915844,420,38.63845446,736,.    ,2845,8,0,707,71.28712871,25.60113154,23,8,9,3,3874,223.5945977
